event_date,country,latitude,longitude,airport_code,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,weather_condition,aircraft_damage
7/7/2009,United States,34.398333,-118.5525,WHP,Airplane,N926JB,Bender,Kitfox,TRUE,1,Reciprocating,Instructional,VMC,Substantial
7/7/2009,United States,33.8975,-117.602222,KAJO,Airplane,N5287A,CESSNA,T210N,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/6/2009,United States,34.4525,-116.115,TYL,Airplane,N5957U,PIPER,PA-28-140,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/19/2008,United States,29.964444,-81.665,FL60,Airplane,N389CP,CIRRUS DESIGN CORP,SR20,FALSE,1,Reciprocating,Instructional,VMC,Substantial
7/3/2009,United States,26.183333,-97.974723,T65,Airplane,N2043D,BEECH,C35,FALSE,1,Reciprocating,Personal,VMC,Substantial
7/1/2009,United States,42.5425,-113.771389,BYI,Airplane,N87487,REPUBLIC,RC-3,FALSE,1,Reciprocating,Instructional,VMC,Substantial
6/29/2009,United States,37.501944,-77.125556,W96,Airplane,N38978,BOEING,A75N1(PT17),FALSE,1,Reciprocating,Personal,VMC,Substantial
6/29/2009,United States,46.025,-91.444166,HYR,Airplane,N861SD,Weatherhead Peter L,STOL CH 701,TRUE,1,Reciprocating,Personal,VMC,Substantial
6/27/2009,United States,35.905,-79.987222,NC03,Airplane,N233VW,LAYSON STANLEY B,STEEN SKY BOLT,TRUE,1,Reciprocating,Personal,VMC,Substantial
6/27/2009,United States,60.873334,-162.524445,Z09,Airplane,N5490C,CESSNA,170A,FALSE,1,Reciprocating,Personal,VMC,Substantial
6/26/2009,United States,38.712222,-77.501944,HEF,Airplane,N2YT,Michael J. Kohout,Glassair III,TRUE,1,Reciprocating,Personal,VMC,Substantial
11/11/2008,United States,41.33,-72.045,GON,Airplane,N91HF,CESSNA,172,FALSE,1,Reciprocating,Instructional,VMC,Substantial
6/21/2009,United States,43.8775,-116.536944,S78,Airplane,N777DV,STUCKER VIRGIL A,AVID MAGNU,TRUE,1,Reciprocating,Personal,VMC,Substantial
6/21/2009,United States,32.516389,-84.938889,CSG,Airplane,N6075M,CESSNA,T206H,FALSE,1,Reciprocating,Personal,VMC,Substantial
6/20/2009,United States,35.703056,-94.934722,44M,Airplane,N60HP,CESSNA,182,FALSE,1,Reciprocating,Public Aircraft - State,VMC,Substantial
6/19/2009,United States,41.196111,-112.012222,OGD,Airplane,N731GE,CESSNA,A188B,FALSE,1,Reciprocating,Aerial Application,VMC,Substantial
6/18/2009,United States,38.683889,-120.9875,O61,Airplane,N773JM,Simmons,Vans RV-8A,TRUE,1,Reciprocating,Personal,VMC,Substantial
6/18/2009,United States,40.278334,-110.051389,74V,Airplane,N14797,BELLANCA,17-31ATC,FALSE,1,Reciprocating,Personal,VMC,Substantial
6/17/2009,United States,33.748333,-117.388055,AJO,Airplane,N8339V,CHAMPION,7ECA,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/8/2008,United States,43.131389,-115.730556,U76,Airplane,N81705,WSK PZL MIELEC,M-18A,FALSE,1,Reciprocating,Aerial Application,VMC,Substantial
6/14/2009,United States,47.398889,-120.203056,KEAT,Airplane,N1935C,Clarke Colin A,Glastar,TRUE,1,Reciprocating,Personal,VMC,Substantial
6/13/2009,United States,34.987777,-81.057222,UZA,Airplane,N266DC,BEECH,F33A,FALSE,1,Reciprocating,Personal,VMC,Substantial
6/10/2009,United States,31.793611,-98.956389,BWD,Airplane,N6393R,CESSNA,172RG,FALSE,1,Reciprocating,Personal,VMC,Substantial
6/9/2009,United States,35.8375,-105.740555,SAF,Helicopter,N606SP,AGUSTA SPA,A109E,FALSE,2,Turbo Shaft,Public Aircraft - State,IMC,Destroyed
6/9/2009,United States,30.242777,-98.908611,T82,Airplane,N8280M,CESSNA,210,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/6/2012,United States,35.041666,-98.265278,F68,Airplane,N7337J,PIPER,PA-28-140,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/1/2012,United States,29.879445,-97.883056,KHYI,Airplane,N10PM,CESSNA,320E,FALSE,2,Reciprocating,Personal,IMC,Substantial
10/21/2012,United States,42.000556,-71.192222,1B9,Airplane,N7250S,CESSNA,150H,FALSE,1,Reciprocating,Instructional,VMC,Substantial
